  0.085  0.630957344 -0.000379287279
  0.085  0.501187234 -0.00117937365
  0.085  0.39810717 -0.001828615
  0.085  0.316227766 -0.00205098168
  0.085  0.251188643 -0.00190920675
  0.085  0.199526231 -0.001643663
  0.085  0.158489319 -0.00150502589
  0.085  0.125892541 -0.00166990417
  0.085  0.1 -0.00222376001
  0.085  0.0794328234 -0.00317837903
  0.085  0.0630957344 -0.00449936884
  0.085  0.0501187233 -0.00613068381
  0.085  0.039810717 -0.00801173238
  0.085  0.0316227766 -0.0100871478
  0.085  0.0251188643 -0.0123110189
  0.085  0.0199526231 -0.0146476028
  0.085  0.0158489319 -0.0170701582
  0.085  0.0125892541 -0.0195590172
  0.085  0.00999999999 -0.0220995635
  0.085  0.00794328234 -0.0246804567
  0.085  0.00630957344 -0.0272922336
  0.085  0.00501187233 -0.0299262994
  0.085  0.0039810717 -0.0325742598
  0.085  0.00316227766 -0.0352275264
  0.085  0.00251188643 -0.0378771242
  0.085  0.00199526231 -0.0405136385
  0.085  0.00158489319 -0.0431272515
  0.085  0.00125892541 -0.04570783
  0.085  0.000999999999 -0.0482450371
  0.085  0.000794328234 -0.0507284493
  0.085  0.000630957344 -0.0531476687
  0.085  0.000501187233 -0.0554924216
  0.085  0.00039810717 -0.0577526432
  0.085  0.000316227766 -0.0599185467
  0.085  0.000251188643 -0.0619806787
  0.085  0.000199526231 -0.063929962
  0.085  0.000158489319 -0.0657577312
  0.085  0.000125892541 -0.0674557606
  0.085  9.99999998E-05 -0.0690162914
  0.085  7.94328233E-05 -0.070432059
  0.085  6.30957343E-05 -0.0716963244
  0.085  5.01187233E-05 -0.0728029151
  0.085  3.9810717E-05 -0.0737462769
  0.085  3.16227765E-05 -0.0745215431
  0.085  2.51188643E-05 -0.0751246262
  0.085  1.99526231E-05 -0.0755523372
  0.085  1.58489319E-05 -0.0758025417
  0.085  1.25892541E-05 -0.0758743609
  0.085  9.99999998E-06 -0.0757684298
  0.085  7.94328233E-06 -0.0754872276
  0.085  6.30957343E-06 -0.0750354971
  0.085  5.01187233E-06 -0.0744207777
  0.085  3.9810717E-06 -0.0736540794
  0.085  3.16227765E-06 -0.0727507346
  0.085  2.51188643E-06 -0.0717314742
  0.085  1.99526231E-06 -0.0706237832
  0.085  1.58489319E-06 -0.06946361
  0.085  1.25892541E-06 -0.0682975197
  0.085  9.99999997E-07 -0.0671854053
  0.09  0.630957344 -0.000417160976
  0.09  0.501187234 -0.00126104213
  0.09  0.39810717 -0.00191449732
  0.09  0.316227766 -0.00210536255
  0.09  0.251188643 -0.00193138896
  0.09  0.199526231 -0.001671765
  0.09  0.158489319 -0.00160293848
  0.09  0.125892541 -0.00191051906
  0.09  0.1 -0.00267562723
  0.09  0.0794328234 -0.00389791592
  0.09  0.0630957344 -0.00552800754
  0.09  0.0501187233 -0.00749537348
  0.09  0.039810717 -0.00972722983
  0.09  0.0316227766 -0.0121589283
  0.09  0.0251188643 -0.0147380866
  0.09  0.0199526231 -0.0174248401
  0.09  0.0158489319 -0.0201900945
  0.09  0.0125892541 -0.0230130381
  0.09  0.00999999999 -0.025878648
  0.09  0.00794328234 -0.0287755523
  0.09  0.00630957344 -0.031694374
  0.09  0.00501187233 -0.0346265545
  0.09  0.0039810717 -0.0375635887
  0.09  0.00316227766 -0.0404965847
  0.09  0.00251188643 -0.0434160614
  0.09  0.00199526231 -0.0463119079
  0.09  0.00158489319 -0.0491734459
  0.09  0.00125892541 -0.0519895499
  0.09  0.000999999999 -0.0547487925
  0.09  0.000794328234 -0.0574395941
  0.09  0.000630957344 -0.0600503639
  0.09  0.000501187233 -0.0625696248
  0.09  0.00039810717 -0.0649861184
  0.09  0.000316227766 -0.0672888911
  0.09  0.000251188643 -0.069467363
  0.09  0.000199526231 -0.0715113808
  0.09  0.000158489319 -0.0734112596
